,property_name,host_name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,country,lat,long,availability_365,review_rating
3978,Çelik apt.,Marzieh,Apartment,Entire home/apt,Real Bed,1,90,flexible,5,2.0,3.0,1,1.0,316.0,94.07480119284294,0.0,1,Turkey,28.98183,41.0482,50,93.09924038225925
3979,Amazing Waikiki Condo,Anthony,Condominium,Entire home/apt,Real Bed,1,16,moderate,4,1.0,2.0,0,1.0,400.0,150.0,0.0,4,United States,-157.82282,21.2726,179,93.09924038225925
3980,Chambre dans grand logement proche du métro,Dorothee,Apartment,Private room,Real Bed,2,1125,moderate,2,1.0,1.0,0,1.0,30.0,10.0,7.0,1,Canada,-73.55042,45.54524,0,93.09924038225925
3981,Long Budget stay at North Point,Seven,Condominium,Private room,Real Bed,2,92,strict_14_with_grace_period,2,1.0,2.0,0,1.0,400.0,200.0,120.0,2,Hong Kong,114.19665,22.29028,362,93.09924038225925
3982,3 minutes away from Maltepe Metro St. by walking!,Esin,Apartment,Private room,Real Bed,1,7,flexible,1,1.0,1.0,0,1.0,90.0,94.07480119284294,0.0,1,Turkey,29.14418,40.93559,90,93.09924038225925
3983,Comfortable and quiet Room in Barcelona,Juan,Apartment,Private room,Real Bed,2,1125,flexible,2,1.0,1.0,1,0.0,35.0,94.07480119284294,0.0,1,Spain,2.165,41.39923,0,20.0
3984,淡雅2-3人房間,磚,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3,1.0,1.0,7,1.0,699.0,120.0,80.0,2,Hong Kong,114.16998,22.30965,76,94.0
3985,FREE Private Tennis Court 10 minutes form Airport,Troy,Guesthouse,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,1,1.0,109.0,50.0,50.0,1,Australia,151.09827,-33.94163,84,80.0
3986,Family Duplex 2Adults+2Children Steps From Subway Station in BCN Center,08028 Apartments,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,2.0,4.0,0,2.0,80.0,94.07480119284294,0.0,4,Spain,2.1295,41.38418,59,93.09924038225925
3987,Small Studio in the heart of Sai Ying Pun!,Jen,Apartment,Entire home/apt,Real Bed,5,31,strict_14_with_grace_period,2,0.0,1.0,1,1.0,447.0,75.0,0.0,1,Hong Kong,114.14156,22.28542,46,100.0
3988,"Sands Of Kahana 356 - 3 Bedroom, 2 Bathroom | Sleeps 8",Kelly,Condominium,Entire home/apt,Real Bed,4,180,super_strict_60,8,3.0,3.0,0,2.0,509.0,349.0,0.0,8,United States,-156.67178,20.98666,132,93.09924038225925
3989,Tranquilidade,Carmelo,Condominium,Entire home/apt,Real Bed,5,1125,flexible,5,1.0,2.0,0,1.0,250.0,90.0,0.0,2,Brazil,-43.185134822836375,-22.91427460134011,84,93.09924038225925
3990,Ayasofya delux apartmens,Ömer,Apartment,Entire home/apt,Real Bed,2,180,moderate,7,3.0,6.0,3,1.0,359.0,94.07480119284294,0.0,1,Turkey,28.9745,41.00387,336,100.0
3991,Vila Terra Luxury Apartment III,Feels Like Home,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0.0,1.0,0,1.0,45.0,94.07480119284294,0.0,1,Portugal,-8.612,41.13678,365,93.09924038225925
3992,APARTAMENTO INTEIRO SUPER ACONCHEGANTE NA ZONA SUL,Eliane,Condominium,Entire home/apt,Real Bed,1,1125,flexible,6,3.0,3.0,0,3.0,500.0,94.07480119284294,0.0,1,Brazil,-43.17917148540948,-22.928545087819728,168,93.09924038225925
3993,Apartamento com terraço para 2 pessoas,João,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,0,1.0,90.0,94.07480119284294,0.0,1,Portugal,-8.6138,41.14276,306,93.09924038225925
3994,Casa Cosi - Gotico,Casa Cosi,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,6,3.0,5.0,1,2.0,160.0,90.0,0.0,1,Spain,2.17448,41.3826,265,80.0
3995,Bronte B&B Studio,Susan,Bed and breakfast,Entire home/apt,Real Bed,2,40,strict_14_with_grace_period,2,0.0,1.0,249,1.0,154.0,0.0,25.0,2,Australia,151.26382,-33.90056,145,99.0
